epoch,train_loss,val_loss,train_acc,val_acc,grad_norm,weight_norm,lr,loss_spike,step_time_sec
1,0.615010294493507,0.46987935831380445,0.7147058823529412,0.9418604651162791,0.5480229107046081,5.875653711085366,0.003,0.0,0.09071803092956543
2,0.3899557302979862,0.2606515503206918,0.9441176470588235,0.9302325581395349,0.5522198845819362,6.077317267825212,0.003,0.0,0.004900932312011719
3,0.2139351453851251,0.15361109826453898,0.95,0.9302325581395349,0.4012524590688931,6.331227864502825,0.003,0.0,0.005413055419921875
4,0.12468035729492412,0.12481509772844093,0.9588235294117647,0.9651162790697675,0.22463504693312764,6.569645120657047,0.003,0.0,0.004973649978637695
5,0.08723166523610844,0.11975466633258863,0.9705882352941176,0.9767441860465116,0.16521039358194398,6.756930080443258,0.003,0.0,0.004915952682495117
6,0.066397124441231,0.12742538923440977,0.9794117647058823,0.9767441860465116,0.16791253200424028,6.894458900523513,0.003,0.0,0.004795074462890625
7,0.05715943344813936,0.13837053054986997,0.9852941176470589,0.9651162790697675,0.11692722435034723,6.996414409793442,0.003,0.0,0.004859209060668945
8,0.058405624099952334,0.15138096067794535,0.9764705882352941,0.9534883720930233,0.2018218771448443,7.071928557828442,0.003,0.0,0.0048160552978515625
9,0.04698723992880653,0.15683125375315202,0.9852941176470589,0.9534883720930233,0.19160854339951752,7.132493074192736,0.003,0.0,0.005071878433227539
10,0.04109056335599984,0.16521735974522525,0.9852941176470589,0.9534883720930233,0.1371664883544285,7.1700303524504925,0.003,0.0,0.004824161529541016
11,0.041006973224198995,0.17604161625684694,0.9852941176470589,0.9534883720930233,0.11171635591841372,7.21506224664199,0.003,0.0,0.0048122406005859375
12,0.03406041344518171,0.19161414199097213,0.9852941176470589,0.9534883720930233,0.10464912403126277,7.263229756919088,0.003,0.0,0.0049097537994384766
13,0.0315949245410807,0.2007737631021544,0.9941176470588236,0.9534883720930233,0.153181251020759,7.315852148976888,0.003,0.0,0.004791975021362305
14,0.029000874597798376,0.20760290567265,0.9911764705882353,0.9418604651162791,0.11524664734016793,7.369770426742287,0.003,0.0,0.0047719478607177734
15,0.031365460508009965,0.22539195626281028,0.9911764705882353,0.9418604651162791,0.19518537140068734,7.421908438647896,0.003,0.0,0.004764080047607422
16,0.026842666636495028,0.22688814859057582,0.9941176470588236,0.9651162790697675,0.1011486855017689,7.472505528359431,0.003,0.0,0.0047607421875
17,0.02150304751635036,0.23405591900958572,0.9911764705882353,0.9651162790697675,0.10139659900373514,7.521003148950407,0.003,0.0,0.00474095344543457
18,0.02063826826565406,0.24684217502904493,0.9970588235294118,0.9534883720930233,0.13757659361748198,7.566146636497323,0.003,0.0,0.0047109127044677734
19,0.019426228259416187,0.2612872151441352,0.9941176470588236,0.9418604651162791,0.11356977671093826,7.6144521462082775,0.003,0.0,0.004685163497924805
20,0.017532626232680152,0.25611053233922915,0.9941176470588236,0.9418604651162791,0.1164643895796419,7.671163601351165,0.003,0.0,0.004752159118652344
21,0.018451365527203854,0.24686052355655405,0.9941176470588236,0.9534883720930233,0.11835154455516046,7.73295767706774,0.003,0.0,0.004698991775512695
22,0.01459644000758143,0.26489883384039237,0.9970588235294118,0.9418604651162791,0.11994577327090845,7.786738112640671,0.003,0.0,0.004746675491333008
23,0.009718669213436762,0.26698079289391985,0.9970588235294118,0.9534883720930233,0.05516601580923325,7.837480293544221,0.003,0.0,0.004669189453125
24,0.01062825018512633,0.2820668442304744,0.9970588235294118,0.9418604651162791,0.0707475530015097,7.880404159598838,0.003,0.0,0.0047228336334228516
25,0.010161517846041962,0.3067745968352917,0.9970588235294118,0.9418604651162791,0.07669486696368617,7.916706302711678,0.003,0.0,0.004682064056396484
26,0.00836651846766472,0.3062422220097032,1.0,0.9418604651162791,0.07488586296110007,7.956792318067667,0.003,0.0,0.004688739776611328
27,0.012316483149633689,0.2970881281897079,0.9970588235294118,0.9534883720930233,0.11011116079700944,8.009743115598559,0.003,0.0,0.0047228336334228516
28,0.009432436369688196,0.29635284806406775,0.9970588235294118,0.9534883720930233,0.060872380145436285,8.05446460020218,0.003,0.0,0.004686117172241211
29,0.007947924886556233,0.3148914755776871,0.9970588235294118,0.9534883720930233,0.09758152237363012,8.091732785968766,0.003,0.0,0.004685640335083008
30,0.005866911174619899,0.3250733017921448,1.0,0.9534883720930233,0.07303745321117298,8.133154227868483,0.003,0.0,0.004680156707763672
